Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,00:14:57:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:58:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:58:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:59:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:59:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:15:00:00,0.01,-0.77,0.68,-0.24,0.31,-0.12
2025-02-07,00:15:00:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:15:01:00,0.01,-0.77,0.68,-0.18,0.31,-0.12
2025-02-07,00:15:01:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:15:02:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:15:02:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:15:03:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:15:03:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
